Camera_Name,URL,Latitude,Longitude
GOAA_ADMS_CCTV,,28.3854,-81.308738
IW MM 01.0 HD,,28.447464,-81.170319
IW MM 01.0 HD,,28.447464,-81.170319
IW MM 01.6 HD,,28.455445,-81.170839
SR-408 MM 01.0 HD,,28.551655,-81.5207
SR-408 MM 01.2 HD,,28.548048,-81.520128
SR-408 MM 01.5 HD,,28.54522,-81.51558
SR-408 MM 02.2 HD,,28.546427,-81.505371
SR-408 MM 02.4 HD,,28.546403,-81.502494
SR-408 MM 02.7 HD,,28.547082,-81.496016
SR-408 MM 03.2 HD,,28.549139,-81.487125
SR-408 MM 03.5 HD,,28.548823,-81.484503
SR-408 MM 03.8 HD,,28.549124,-81.479211
SR-408 MM 03.9 HD,,28.548183,-81.476836
SR-408 MM 04.0 HD,,28.548516,-81.4751
SR-408 MM 04.3 HD,,28.547441,-81.469116
SR-408 MM 04.9 HD,,28.551959,-81.461298
SR-408 MM 05.1 HD,,28.548365,-81.457001
SR-408 MM 05.3 HD,,28.548501,-81.453503
SR-408 MM 05.7 HD,,28.548044,-81.447223
SR-408 MM 06.0 HD,,28.547904,-81.442186
SR-408 MM 06.4 HD,,28.548079,-81.436586
SR-408 MM 06.6 HD,,28.548168,-81.4342
SR-408 MM 06.8 HD,,28.545747,-81.430447
SR-408 MM 07.4 HD,,28.547228,-81.420247
SR-408 MM 07.9 HD,,28.542824,-81.413437
SR-408 MM 08.5,,28.536381,-81.406101
SR-408 MM 09.0,,28.534816,-81.397354
SR-408 MM 09.4,,28.533802,-81.391914
SR-408 MM 09.5 HD,,28.535486,-81.38876
SR-408 MM 09.6,,28.535564,-81.38765
SR-408 MM 09.9E HD,,28.534766,-81.382257
SR-408 MM 09.9W HD,,28.536349,-81.382257
SR-408 MM 10.3,,28.535713,-81.377906
SR-408 MM 10.5 HD,,28.536759,-81.373745
SR-408 MM 11.0 HD,,28.536858,-81.363884
SR-408 MM 11.3 HD,,28.538532,-81.359463
SR-408 MM 11.8 HD,,28.539593,-81.352586
SR-408 MM 12.1 HD,,28.538701,-81.34674
SR-408 MM 12.5 HD,,28.538361,-81.340321
SR-408 MM 13.0 HD,,28.538537,-81.331851
SR-408 MM 13.4 HD,,28.539743,-81.324985
SR-408 MM 13.6 HD,,28.540306,-81.321709
SR-408 MM 14.0 HD,,28.539814,-81.316144
SR-408 MM 14.2 HD,,28.539128,-81.315831
SR-408 MM 14.2 HD,,28.539128,-81.315831
SR-408 MM 14.4 HD,,28.539932,-81.310365
SR-408 MM 14.7 HD,,28.539189,-81.305018
SR-408 MM 15.0 HD,,28.539399,-81.295866
SR-408 MM 15.4 HD,,28.541723,-81.291845
SR-408 MM 15.8 HD,,28.540139,-81.286174
SR-408 MM 16.5 HD,,28.543581,-81.278996
SR-408 MM 17.0 HD,,28.547642,-81.268359
SR-408 MM 17.5 HD,,28.546042,-81.25998
SR-408 MM 17.7 HD,,28.547126,-81.258507
SR-408 MM 17.8 HD,,28.547745,-81.25686
SR-408 MM 18.4N HD,,28.549059,-81.244548
SR-408 MM 18.4S HD,,28.545313,-81.24413
SR-408 MM 18.6 HD,,28.547008,-81.243978
SR-408 MM 18.7 HD,,28.54703,-81.242187
SR-408 MM 18.9 HD,,28.547615,-81.237243
SR-408 MM 19.3 HD,,28.546851,-81.231046
SR-408 MM 19.5 HD,,28.547519,-81.228713
SR-408 MM 19.6 HD,,28.548017,-81.223939
SR-408 MM 19.7 HD,,28.547549,-81.223375
SR-408 MM 19.7S HD,,28.545614,-81.22254
SR-408 MM 19.8 HD,,28.547666,-81.221714
SR-408 MM 20.2 HD,,28.547941,-81.215232
SR-408 MM 20.6 HD,,28.54929,-81.208564
SR-408 MM 20.9 HD,,28.549874,-81.203325
SR-408 MM 20.9N HD,,28.552699,-81.205437
SR-408 MM 20.9S HD,,28.548964,-81.203601
SR-408 MM 21.8 HD,,28.55286,-81.190735
SR-408 MM 22.3 HD,,28.560153,-81.191481
SR-408 MM 22.7 HD,,28.564915,-81.1909
SR-414 MM 04.3 HD,,28.653377,-81.52548
SR-414 MM 04.9 HD,,28.649215,-81.517026
SR-414 MM 05.4 HD,,28.645607,-81.510851
SR-414 MM 05.8 HD,,28.642622,-81.503931
SR-414 MM 06.0 HD,,28.6423,-81.5014
SR-414 MM 06.3 HD,,28.639901,-81.496512
SR-414 MM 06.7 HD,,28.635631,-81.492972
SR-414 MM 07.2 HD,,28.63398,-81.484735
SR-414 MM 07.8 HD,,28.634414,-81.475457
SR-414 MM 08.3 HD,,28.633914,-81.466155
SR-414 MM 08.9 HD,,28.633185,-81.456158
SR-414 MM 09.2 HD,,28.63451,-81.450899
SR-414 MM 09.7 HD,,28.638505,-81.446106
SR-417 MM 05.9 HD,,28.356914,-81.482485
SR-417 MM 06.3 HD,,28.355676,-81.47511
SR-417 MM 06.6 HD,,28.352543,-81.4714
SR-417 MM 06.7 HD,,28.353747,-81.467613
SR-417 MM 07.2 HD,,28.355018,-81.463315
SR-417 MM 07.6 HD,,28.356184,-81.455343
SR-417 MM 07.8 HD,,28.357372,-81.451662
SR-417 MM 08.2 HD,,28.358419,-81.445543
SR-417 MM 09.3 HD,,28.366352,-81.432934
SR-417 MM 09.7 HD,,28.371928,-81.426599
SR-417 MM 10.3 HD,,28.375665,-81.418126
SR-417 MM 10.7 HD,,28.375175,-81.410675
SR-417 MM 11.2 HD,,28.372542,-81.404132
SR-417 MM 12.2 HD,,28.367918,-81.388745
SR-417 MM 13.0 HD,,28.368001,-81.375415
SR-417 MM 13.5 HD,,28.369072,-81.366115
SR-417 MM 14.5 HD,,28.367715,-81.350726
SR-417 MM 14.7 HD,,28.369973,-81.345907
SR-417 MM 14.9 HD,,28.368481,-81.344771
SR-417 MM 15.2 HD,,28.368481,-81.339232
SR-417 MM 15.7 HD,,28.36735,-81.331372
SR-417 MM 16.0 HD,,28.367527,-81.328006
SR-417 MM 16.1 HD,,28.367255,-81.325787
SR-417 MM 16.4 HD,,28.367024,-81.319806
SR-417 MM 17.0 HD,,28.369446,-81.309834
SR-417 MM 17.1 HD,,28.372768,-81.308991
SR-417 MM 17.9 HD,,28.371861,-81.295914
SR-417 MM 18.5 HD,,28.375865,-81.286555
SR-417 MM 19.5 HD,,28.381655,-81.271833
SR-417 MM 20.4 HD,,28.386169,-81.258623
SR-417 MM 20.9 HD,,28.393441,-81.253327
SR-417 MM 21.7 HD,,28.400566,-81.244928
SR-417 MM 22.2 HD,,28.404583,-81.237481
SR-417 MM 23.1 HD,,28.414312,-81.227299
SR-417 MM 24.1 HD,,28.428311,-81.228103
SR-417 MM 24.9 HD,,28.440743,-81.230322
SR-417 MM 25.4 HD,,28.448814,-81.232109
SR-417 MM 26.1 HD,,28.457455,-81.230712
SR-417 MM 26.9 HD,,28.468466,-81.234249
SR-417 MM 27.6 HD,,28.478105,-81.239385
SR-417 MM 27.9 HD,,28.482398,-81.240457
SR-417 MM 28.0 HD,,28.484096,-81.241562
SR-417 MM 28.6 HD,,28.492263,-81.242677
SR-417 MM 28.7 HD,,28.494176,-81.243551
SR-417 MM 28.8 HD,,28.498502,-81.243658
SR-417 MM 29.9 HD,,28.509861,-81.248102
SR-417 MM 30.8 HD,,28.524473,-81.252479
SR-417 MM 31.2 HD,,28.529541,-81.251167
SR-417 MM 31.9 HD,,28.539841,-81.251815
SR-417 MM 32.7 HD,,28.546511,-81.256758
SR-417 MM 32.9 HD,,28.551981,-81.262473
SR-417 MM 33.1 HD,,28.550985,-81.262347
SR-417 MM 33.3 HD,,28.553957,-81.264595
SR-417 MM 33.6 HD,,28.556852,-81.267098
SR-417 MM 34.3 HD,,28.567999,-81.266579
SR-417 MM 34.8 HD,,28.574978,-81.264799
SR-417 MM 35.2 HD,,28.580534,-81.261516
SR-417 MM 35.4 HD,,28.581381,-81.260168
SR-417 MM 35.5 HD,,28.584619,-81.258245
SR-417 MM 36.0 HD,,28.590113,-81.252862
SR-417 MM 36.2 HD,,28.592323,-81.251782
SR-417 MM 36.4 HD,,28.594029,-81.250009
SR-417 MM 36.6 HD,,28.597095,-81.250153
SR-417 MM 37.2,,28.604872,-81.25406
SR-417 MM 37.2 HD,,28.604872,-81.25406
SR-417 MM 37.6 HD,,28.609356,-81.258209
SR-429 MM 10.9 HD,,28.420093,-81.632731
SR-429 MM 11.5 HD,,28.427376,-81.635488
SR-429 MM 12.1 HD,,28.436168,-81.636971
SR-429 MM 13.1 HD,,28.449127,-81.642748
SR-429 MM 13.7 HD,,28.457825,-81.637407
SR-429 MM 15.0 HD,,28.4749,-81.631885
SR-429 MM 16.1 HD,,28.489285,-81.62553
SR-429 MM 16.4 HD,,28.493,-81.6217
SR-429 MM 16.7 HD,,28.49662,-81.619468
SR-429 MM 17.2 HD,,28.501482,-81.614416
SR-429 MM 17.5 HD,,28.5048,-81.6124
SR-429 MM 17.7 HD,,28.507804,-81.61
SR-429 MM 18.4 HD,,28.514511,-81.60079
SR-429 MM 19.3 HD,,28.517134,-81.586028
SR-429 MM 19.9 HD,,28.52238,-81.579662
SR-429 MM 20.4 HD,,28.526225,-81.572624
SR-429 MM 20.7 HD,,28.527737,-81.567069
SR-429 MM 21.4 HD,,28.533128,-81.558082
SR-429 MM 21.7 HD,,28.538675,-81.557294
SR-429 MM 22.4 HD,,28.547364,-81.557951
SR-429 MM 22.7 HD,,28.551731,-81.558868
SR-429 MM 23.6 HD,,28.564777,-81.557721
SR-429 MM 24.2 HD,,28.571628,-81.556651
SR-429 MM 24.7 HD,,28.581131,-81.556992
SR-429 MM 24.9 HD,,28.584671,-81.557652
SR-429 MM 25.3 HD,,28.589701,-81.557888
SR-429 MM 26.0 HD,,28.598165,-81.553063
SR-429 MM 26.6 HD,,28.601954,-81.543746
SR-429 MM 26.8 HD,,28.602763,-81.539867
SR-429 MM 27.0 HD,,28.604038,-81.5384
SR-429 MM 27.6 HD,,28.610643,-81.536823
SR-429 MM 27.7 HD,,28.611481,-81.53728
SR-429 MM 28.0 HD,,28.618575,-81.536877
SR-429 MM 28.1 HD,,28.621341,-81.536453
SR-429 MM 28.5 HD,,28.626125,-81.536694
SR-429 MM 29.1 HD,,28.634414,-81.541859
SR-429 MM 29.6 HD,,28.640428,-81.544565
SR-429 MM 30.0 HD,,28.646345,-81.54237
SR-429 MM 30.4 HD,,28.651616,-81.544239
SR-429 MM 30.7 HD,,28.655356,-81.54645
SR-429 MM 31.4 HD,,28.6638,-81.553811
SR-429 MM 32.1 HD,,28.672817,-81.556921
SR-429 MM 32.5 HD,,28.676856,-81.559253
SR-429 MM 32.9 HD,,28.683058,-81.562328
SR-429 MM 33.3 HD,,28.688554,-81.562414
SR-429 MM 33.7 HD,,28.692018,-81.561727
SR-429 MM 34.1 HD,,28.702702,-81.558929
SR-429 MM 34.6 HD,,28.7098,-81.560193
SR-429 MM 35.1 HD,,28.716802,-81.561802
SR-429 MM 35.6 HD,,28.724119,-81.563651
SR-429 MM 36.0 HD,,28.7285,-81.563049
SR-429 MM 36.1 HD,,28.7304,-81.563673
SR-429 MM 36.7 HD,,28.738115,-81.565422
SR-429 MM 37.1 HD,,28.74429,-81.567039
