Camera_Name,URL,Latitude,Longitude
091-193_1-SB-T-E-IPV,,27.697743,-80.897624
091-193_1-SB-T-W-IPV,,27.69757,-80.89767
091-193_9-NB-IPV,,27.708367,-80.895218
091-194_9-SB-IPV,,27.71976,-80.90468
091-195_7-SB-IPV,,27.728951,-80.914693
091-196_7-SB-IPV,,27.738498,-80.925264
091-197_6-SB-IPV,,27.747469,-80.935175
091-198_9-SB-IPV,,27.759703,-80.948671
091-199_9-SB-IPV,,27.769981,-80.960074
091-200_8-SB-IPV,,27.78025,-80.97138
091-201_8-SB-IPV,,27.791857,-80.983936
091-202_8-SB-IPV,,27.801176,-80.994421
091-203_8-SB-IPV,,27.814044,-81.002308
091-204_8-SB-IPV,,27.828389,-81.004787
091-205_8-SB-IPV,,27.843008,-81.006855
091-206_9-NB-IPV,,27.858573,-81.00904
091-207_5-SB-T-N-IPV,,27.866073,-81.015922
091-207_5-SB-T-S-IPV,,27.866073,-81.015922
091-207_9-SB-IPV,,27.870328,-81.018529
091-208_9-SB-IPV,,27.881701,-81.02885
091-209_9-SB-IPV,,27.89327,-81.038589
091-210_9-SB-IPV,,27.905341,-81.047542
091-211_8-SB-IPV,,27.91744,-81.056583
091-212_8-NB-IPV,,27.92981,-81.06511
091-213_8-SB-IPV,,27.940133,-81.076593
091-214_9-SB-IPV,,27.950453,-81.088416
091-215_9-SB-IPV,,27.960735,-81.100108
091-216_4-NB-IPV,,27.967035,-81.10431
091-216_9-SB-IPV,,27.972475,-81.111213
091-218_0-SB-IPV,,27.984012,-81.12261
091-219_0-NB-IPV,,27.995391,-81.132741
091-220_0-NB-IPV,,28.004254,-81.145305
091-221_0-SB-IPV,,28.00876,-81.160958
091-222_0-SB-IPV,,28.015863,-81.174724
091-222_9-SB-IPV,,28.025149,-81.186757
091-223_9-SB-IPV,,28.03494,-81.199405
091-225_0-SB-IPV,,28.025149,-81.186757
091-225_9-SB-IPV,,28.025149,-81.186757
091-226_0-NB-IPV,,28.025149,-81.186757
091-226_8-SB-IPV,,28.061945,-81.234405
091-227_4-NB-IPV,,28.068729,-81.242333
091-228_5-SB-IPV,,28.077724,-81.254985
091-229_4-SB-IPV,,28.086573,-81.266314
091-230_1-MD-T-E-IPV,,28.09311,-81.27274
091-230_1-MD-T-W-IPV,,28.09311,-81.27274
091-231_0-SB-IPV,,28.105911,-81.280253
091-232_0-SB-IPV,,28.11976,-81.285514
091-233_0-SB-IPV,,28.133451,-81.290723
091-234_0-SB-IPV,,28.147367,-81.296004
091-234_8-SB-IPV,,28.159282,-81.300338
091-235_8-SB-IPV,,28.172911,-81.302406
091-236_5-SB-IPV,,28.183534,-81.303977
091-237_5-SB-IPV,,28.198499,-81.30624
091-238_5-NB-IPV,,28.2126,-81.308778
