zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length
16213,408-001-0WB-LNK,FTE,,America/New_York,SR-408,East,408-001_0-WB-VDS,Unknown,FDOT,Radar,28.5425550,-81.5195160,,65,60,
16212,408-001-0EB-LNK.,FTE,,America/New_York,SR-408,West,408-001_0-WB-VDS,Unknown,FDOT,Radar,28.5425550,-81.5195160,,65,60,
3206,417038-0NB-LNK,FTE,,America/New_York,SR-417,North,417-038_0-NB-VDS,Unknown,FDOT,Radar,28.6180610,-81.2584000,,65,60,
3223,417044-0NB-LNK,FTE,,America/New_York,SR-417,North,417-044_0-NB-VDS,Unknown,FDOT,Radar,28.6953190,-81.2296570,,65,60,
3229,417041-5NB-LNK,FTE,,America/New_York,SR-417,North,417-041_5-NB-VDS,Unknown,FDOT,Radar,28.6604840,-81.2300590,,65,60,
3243,417039-0NB-LNK,FTE,,America/New_York,SR-417,North,417-039_2-NB-VDS,Unknown,FDOT,Radar,28.6268860,-81.2484410,,65,60,
3257,417040-5NB-LNK,FTE,,America/New_York,SR-417,North,417-040_5-NB-VDS,Unknown,FDOT,Radar,28.6472170,-81.2368430,,65,60,
3423,417046-9NB-LNK,FTE,,America/New_York,SR-417,North,417-047_0-SB-VDS,Unknown,FDOT,Radar,28.7332810,-81.2518140,,65,60,
3427,417051-5NB-LNK,FTE,,America/New_York,SR-417,North,417-051_5-SB-VDS,Unknown,FDOT,Radar,28.7788420,-81.2986420,,65,60,
3450,417051-0NB-LNK,FTE,,America/New_York,SR-417,North,417051-0SBVD,Unknown,FDOT,Radar,28.7742900,-81.2933570,,65,60,
3451,417-052-0NB-N-LNK,FTE,,America/New_York,SR-417,North,417-052_0-NB-VDS,Unknown,FDOT,Radar,28.7862010,-81.3010000,,65,60,
3460,417-049-0NB-LNK,FTE,,America/New_York,SR-417,North,417-049_0-NB-VDS,Unknown,FDOT,Radar,28.7579470,-81.2686920,,65,60,
3484,417050-2NBTT-link1,FTE,,America/New_York,SR-417,North,417-050_2-NB-TT,Unknown,FDOT,AVI,28.7715090,-81.2803530,,65,60,1.0000000
3487,417051-2NBTT-link1,FTE,,America/New_York,SR-417,North,417-051_2-NB-TT,Unknown,FDOT,AVI,28.7757900,-81.2944050,,65,60,0.8000000
3488,417051-2NBTT-link3,FTE,,America/New_York,SR-417,North,417-051_2-NB-TT,Unknown,FDOT,AVI,28.7757900,-81.2944050,,65,60,3.8000000
3509,417045-0NB-LNK,FTE,,America/New_York,SR-417,North,417-045_0-SB-VDS,Unknown,FDOT,Radar,28.7074490,-81.2368480,,65,60,
3515,417-046-0NB-LNK,FTE,,America/New_York,SR-417,North,417-046_0-NB-VDS,Unknown,FDOT,Radar,28.7209220,-81.2436720,,65,60,
3570,417-054-5NB-N-LNK,FTE,,America/New_York,SR-417,North,417-054_6-NB-VDS,Unknown,FDOT,Radar,28.7983770,-81.3313010,,55,60,
3572,417-054-0NB-LNK,FTE,,America/New_York,SR-417,North,417-054_0-NB-VDS,Unknown,FDOT,Radar,28.7991640,-81.3222020,,65,60,
3586,417-055-0NB-LNK,FTE,,America/New_York,SR-417,North,417-055_0-SB-VDS,Unknown,FDOT,Radar,28.7964680,-81.3382380,,55,60,
3804,417052-0NBTT-link1,FTE,,America/New_York,SR-417,North,417-052_0-NB-TT,Unknown,FDOT,AVI,28.7862010,-81.3011660,,65,60,2.5000000
3807,417054-5NBTT-link1,FTE,,America/New_York,SR-417,North,417-054_5-NB-TT,Unknown,FDOT,AVI,28.7984790,-81.3312930,,65,60,0.5000000
3813,417049-0NBTT-link1,FTE,,America/New_York,SR-417,North,417-049_0-NB-TT,Unknown,FDOT,AVI,28.7579480,-81.2688920,,65,60,1.2000000
3816,417003-5NBTT-link1,FTE,,America/New_York,SR-417,North,417-003_5-NB-TT,Unknown,FDOT,AVI,28.3418330,-81.5168750,,65,60,2.4000000
3817,417002-3NBTT-link1,FTE,,America/New_York,SR-417,North,417-002_3-NB-TT,Unknown,FDOT,AVI,28.3284910,-81.5287060,,65,60,1.2000000
4032,417001-2NB-LNK,FTE,,America/New_York,SR-417,North,417-001_0-MD-N-VDS,Unknown,FDOT,Radar,28.3264910,-81.5469420,,65,60,
4035,417-001-5NB-LNK,FTE,,America/New_York,SR-417,North,417-001_5-NB-VDS,Unknown,FDOT,Radar,28.3263030,-81.5386040,,55,60,
4038,417003-5NB-LNK,FTE,,America/New_York,SR-417,North,417-003_5-SB-VDS,Unknown,FDOT,Radar,28.3420990,-81.5172400,,65,60,
